date,India_infected,India_Relativecases,India_vaccinationRate,Germany_infected,Germany_Relativecases,Germany_vaccinationRate,Spain_infected,Spain_Relativecases,Spain_vaccinationRate
2020-06-09,276146.0,0.00019818014198275978,,184543.0,0.0021995466509359646,,241966.0,0.005176273565221472,
2020-06-10,286605.0,0.00020568619350984214,,184861.0,0.0022033368561184836,,242280.0,0.005182990830868215,
2020-06-11,297535.0,0.00021353026494984692,,185416.0,0.0022099518368615596,,242707.0,0.005192125456445153,
2020-06-12,308993.0,0.000221753263171217,,185674.0,0.002213026908990773,,243209.0,0.005202864524453638,
2020-06-13,320922.0,0.00023031428130550953,,186022.0,0.002217174680699945,,243605.0,0.005211335980492205,
2020-06-14,332424.0,0.00023856885675866004,,186269.0,0.0022201186451027196,,243928.0,0.005218245779230733,
2020-06-15,343091.0,0.00024622418247234086,,186461.0,0.002222407070873297,,244109.0,0.005222117833632198,
2020-06-16,354065.0,0.00025409983114412605,,186839.0,0.0022269124091091217,,244328.0,0.0052268028055323145,
2020-06-17,366946.0,0.0002633440657478499,,187184.0,0.0022310244241656283,,244683.0,0.0052343971663749685,
2020-06-18,380532.0,0.0002730942537244195,,187764.0,0.002237937377014248,,245268.0,0.005246911817341032,
2020-06-19,395048.0,0.0002835118695545302,,188534.0,0.002247114917865002,,245575.0,0.005253479335027496,
2020-06-20,410451.0,0.0002945660536707601,,189135.0,0.002254278167282279,,245938.0,0.0052612448363961815,
2020-06-21,425282.0,0.00030520973377384445,,189822.0,0.002262466440742627,,246272.0,0.005268389953358003,
2020-06-22,440215.0,0.00031592661564151065,,190359.0,0.0022688668815697114,,246504.0,0.005273353028612921,
2020-06-23,456183.0,0.00032738628012037583,,190862.0,0.002274862080333256,,246752.0,0.005278658384919901,
2020-06-24,473105.0,0.00033953059639738964,,191449.0,0.002281858465371428,,247086.0,0.005285803501881722,
2020-06-25,490401.0,0.0003519433191445372,,192079.0,0.002289367362431136,,247486.0,0.005294360528183304,
2020-06-26,508953.0,0.00036525742832614464,,192556.0,0.0022950526702049147,,247905.0,0.005303324013234211,
2020-06-27,528859.0,0.0003795432550493592,,193243.0,0.0023032409436652625,,248469.0,0.005315389420319442,
2020-06-28,548318.0,0.0003935082858042589,,193499.0,0.002306292178026033,,248770.0,0.0053218285826113826,
2020-06-29,566840.0,0.0004068008650551069,,193761.0,0.0023094149256921333,,248970.0,0.005326107095762173,
2020-06-30,585481.0,0.0004201788463646338,,194259.0,0.002315350530034569,,249271.0,0.005332546258054114,
2020-07-01,604641.0,0.0004339292954762982,,194725.0,0.0023209047300819085,,249659.0,0.005340846573566648,
2020-07-02,625544.0,0.00044893063356508326,,195228.0,0.002326899928845453,,250103.0,0.005350344872761405,
2020-07-03,648315.0,0.0004652725686758197,,195674.0,0.002332215751208357,,250545.0,0.005359800386824653,
2020-07-04,673165.0,0.0004831065279881819,,196096.0,0.0023372455203499393,,250545.0,0.005359800386824653,
2020-07-05,697413.0,0.000500508453356639,,196335.0,0.0023400941336789395,,250545.0,0.005359800386824653,
2020-07-06,719664.0,0.0005164772030008793,,196554.0,0.0023427043693235046,,251789.0,0.005386412738622572,
2020-07-07,742417.0,0.0005328062201531602,,196944.0,0.0023473527341699905,,252130.0,0.005393707603544671,
2020-07-08,767296.0,0.0005506609917319232,,197341.0,0.0023520845312060288,,252513.0,0.005401900956228436,
2020-07-09,793802.0,0.0005696834032222038,,197783.0,0.002357352678032046,,253056.0,0.005413517119432833,
2020-07-10,820916.0,0.0005891421546425414,,198178.0,0.0023620606372996406,,253908.0,0.005431743585455203,
2020-07-11,849522.0,0.0006096716612859793,,198556.0,0.002366565975535465,,253908.0,0.005431743585455203,
2020-07-12,878254.0,0.0006302915936386068,,198804.0,0.0023695218588224614,,253908.0,0.005431743585455203,
2020-07-13,906752.0,0.000650743592531311,,198963.0,0.0023714169614137207,,255953.0,0.005475491382422041,
2020-07-14,936181.0,0.0006718637369419149,,199375.0,0.002376327541713085,,256619.0,0.005489738831214175,
2020-07-15,968857.0,0.0006953141375250436,,199726.0,0.0023805110700749225,,257494.0,0.005508457326248886,
2020-07-16,1003832.0,0.0007204144484687003,,200260.0,0.0023868757542493415,,258855.0,0.005537572608240018,
2020-07-17,1039084.0,0.000745713552439702,,200843.0,0.0023938244637506266,,260255.0,0.005567522200295555,
2020-07-18,1077781.0,0.0007734850101262405,,201372.0,0.0024001295535039367,,260255.0,0.005567522200295555,
2020-07-19,1118206.0,0.0008024965918245199,,201574.0,0.002402537168116732,,260255.0,0.005567522200295555,
2020-07-20,1155338.0,0.0008291449047897768,,201823.0,0.00240550497028795,,264836.0,0.0056655215440144235,
2020-07-21,1193078.0,0.0008562295576850907,,202345.0,0.0024117266278517076,,266194.0,0.005694572648308294,
2020-07-22,1238798.0,0.0008890411721624026,,202799.0,0.002417137801288386,,267551.0,0.005723602360036411,
2020-07-23,1288108.0,0.000924429201687255,,203368.0,0.0024239196464105666,,270166.0,0.0057795439194830035,
2020-07-24,1337024.0,0.0009595344714548007,,204183.0,0.0024336335370513,,272421.0,0.005827784155258172,
